Date,Close,High,Low,Open,Volume,MA,STD,Zscore,Signal,Position
2020-12-18,476.2049560546875,478.07242647058825,473.4037504308364,474.3374856387868,39924864,467.1894470214844,11.463842477185391,0.7864299471268201,0,0.0
2020-12-21,481.807373046875,482.7411082659581,474.3374912942103,478.0724321705426,34813281,468.21302490234376,11.82201008689943,1.1499185032497836,-1,0.0
2020-12-22,475.2711791992188,481.80732508211565,475.2711791992188,478.0723845776032,22454277,469.11885223388674,11.622477237018023,0.5293473017728677,0,-1.0
2020-12-23,475.2711791992188,477.13864945147503,472.4699738208344,474.3374440730906,18086715,470.2569747924805,11.008623431175245,0.4554796917240919,0,0.0
2020-12-24,476.2049560546875,478.07242647058825,474.3374856387868,477.1386912626379,14950143,471.3488708496094,10.416711166100418,0.4661821881825315,0,0.0
2020-12-25,477.1387023925781,480.87364331150246,476.2049671628471,479.93990808177136,12327895,472.4874542236328,9.681402449343636,0.48043123847833,0,0.0
2020-12-28,480.8736267089844,480.8736267089844,475.27121552402537,478.07242111650487,19087382,474.2076812744141,7.660734746227573,0.8701443993806007,0,0.0
2020-12-29,480.8736267089844,482.74109710397073,479.006156313998,480.8736267089844,19907528,475.4865524291992,6.362434542264492,0.8467001497618272,0,0.0
2020-12-30,490.2109375,490.2109375,479.9398511904762,481.8073214285714,46292401,476.8141586303711,6.5324785143203785,2.0507957033858966,-1,0.0
2020-12-31,494.8796081542969,494.8796081542969,489.2771974959463,491.1446677153965,29970398,478.4681167602539,6.7161610729335255,2.4435821618665643,-1,-1.0
2021-01-04,500.4819946289063,504.2169348873309,493.0121141120569,494.8795842412693,38770328,480.1234405517578,7.8263815789992615,2.6012728706938,-1,-1.0
2021-01-05,506.0845336914063,506.0845336914062,499.54838657731057,500.4821218793242,34411866,481.54784393310547,9.708398374256289,2.5273674207029506,-1,-1.0
2021-01-06,512.62060546875,518.2230164574795,505.150724150444,518.2230164574795,53030554,482.83446502685547,11.909077444171666,2.5011291245294527,-1,-1.0
2021-01-07,527.560302734375,532.2289779798119,516.3554821453263,517.2892171944137,51166782,485.0539047241211,15.553752457373884,2.732870934312835,-1,-1.0
2021-01-08,541.5664672851562,541.5664672851562,533.1628496893521,541.5664672851562,59563555,488.34532470703124,19.850336190863636,2.6811204639758546,-1,-1.0
2021-01-11,545.30126953125,545.30126953125,535.963919025578,538.7651241772795,48810990,491.6376480102539,23.435051928741483,2.2898870326453755,-1,-1.0
2021-01-12,551.8375854492188,557.4399974842362,543.4339673966925,544.3677027358622,50232426,495.6284576416016,26.51269337400403,2.1200836525620894,-1,-1.0
2021-01-13,564.9097900390625,564.9097900390625,553.704967757296,555.5724381375904,62662393,500.4587158203125,29.86127458419979,2.1583497394599624,-1,-1.0
2021-01-14,552.771240234375,557.439916249868,548.102564218882,548.102564218882,75288477,504.3103744506836,31.43163253746999,1.5417864702356994,-1,-1.0
2021-01-15,561.1748046875,583.584447470362,561.1748046875,579.8495070065516,92010500,508.65223693847656,33.030417460289385,1.5901272762346517,-1,-1.0
2021-01-18,566.7772216796875,567.7109568060132,554.6386650374536,567.7109568060132,45726476,513.1808502197266,34.52282397106905,1.5524909406274505,-1,-1.0
2021-01-19,585.4519653320312,590.1206412916168,572.3796726451916,577.0483486047772,50672866,518.3630798339843,37.23777867899725,1.8016350028925385,-1,-1.0
2021-01-20,604.1267700195312,606.9279760628984,589.1870044549061,591.0544751504842,82066422,524.805859375,40.402384991884716,1.9632729765944217,-1,-1.0
